chip,l,a,b
10YR 8/1,72.1,1.5,10.5
10YR 8/2,73.4,2.9,15.2
10YR 8/3,75.4,5.8,21.5
10YR 8/4,77,8.3,27.3
10YR 8/6,75.8,12.2,39
10YR 8/8,79,15.6,52.5
10YR 7/1,65.5,1.5,7.7
10YR 7/2,65.8,4.1,14
10YR 7/3,65.7,6.5,19.2
10YR 7/4,66.4,8.2,26.4
10YR 7/6,68.2,12.2,38.5
10YR 7/8,67,16.5,49.8
10YR 6/1,57.6,2.3,7.4
10YR 6/2,55.6,4.6,13.2
10YR 6/3,56,6.8,19.3
10YR 6/4,57.4,8.5,24.7
10YR 6/6,56.6,13.3,39.3
10YR 6/8,57.6,16.2,46.3
10YR 5/1,48.7,2.1,7.2
10YR 5/2,46,4.9,12.7
10YR 5/3,46,6.8,19.5
10YR 5/4,46.9,9.5,26
10YR 5/6,48.4,13.9,36.1
10YR 5/8,47.6,14.8,38.4
10YR 4/1,36.8,2.6,6.4
10YR 4/2,35.5,5.5,14
10YR 4/3,36.1,7.7,17.7
10YR 4/4,37.8,10.1,22.9
10YR 4/6,39.7,12.8,34.6
10YR 3/1,28.6,2.1,5
10YR 3/2,28.1,4.5,8.6
10YR 3/3,27.8,6.6,18.4
10YR 3/4,30.1,8.7,20.2
10YR 3/6,36.4,11.1,24.9
10YR 2/1,21.2,2.2,4.7
10YR 2/2,21.3,4.6,8.9
