chip,l,a,b
10YR 8/1,68.3,3.5,15.5
10YR 8/2,69.2,6,22.7
10YR 8/3,68.6,8.3,28.2
10YR 8/4,69,9,30.5
10YR 8/6,66.7,10.5,33.2
10YR 8/8,75.4,15.2,46.3
10YR 7/1,64.4,2.7,12.3
10YR 7/2,66.2,4.2,18
10YR 7/3,68.3,5.9,21.5
10YR 7/4,68.2,7.6,25.4
10YR 7/6,69,11.3,34.9
10YR 7/8,67.7,14.6,43
10YR 6/1,60.5,2,8.7
10YR 6/2,60.9,3.9,13.1
10YR 6/3,59.6,5.2,18.1
10YR 6/4,61.1,7.6,22.3
10YR 6/6,60.9,11.2,30.8
10YR 6/8,59.3,15.5,42.2
10YR 5/1,52.4,1.8,6.6
10YR 5/2,51,4,13.4
10YR 5/3,51.1,5.8,17
10YR 5/4,53,6.6,16.5
10YR 5/6,51.1,10,27.5
10YR 5/8,49.9,13,30.2
10YR 4/1,44.2,2.1,5.8
10YR 4/2,40.8,4.2,10.8
10YR 4/3,41.4,6.7,16.5
10YR 4/4,41.2,8.1,19.9
10YR 4/6,41.2,12.7,36
10YR 3/1,31.8,2.3,4.8
10YR 3/2,29.9,4.1,8.4
10YR 3/3,29.1,7.9,20
10YR 3/4,31.3,8.5,22
10YR 3/6,30.7,12.5,33.2
10YR 2/1,22.5,2.5,4
10YR 2/2,22.1,4.9,9.2
