chip,l,a,b
10YR 8/1,77.9,1.8,10.4
10YR 8/2,79.5,3.6,16.7
10YR 8/3,79.6,5.4,20.5
10YR 8/4,80.9,8.4,27.6
10YR 8/6,76.3,12.4,38.7
10YR 8/8,77.8,15.4,50.9
10YR 7/1,68.7,2.2,9.3
10YR 7/2,69.2,4.1,14
10YR 7/3,71.1,6.5,19.9
10YR 7/4,70.6,8.4,27
10YR 7/6,69.9,12.2,38.1
10YR 7/8,70.1,16.7,51
10YR 6/1,61.7,2.3,8.6
10YR 6/2,59.8,4.7,14.2
10YR 6/3,58.5,6,19.2
10YR 6/4,60.2,8.6,25.1
10YR 6/6,58.7,13.7,38.9
10YR 6/8,56.9,16.7,46.7
10YR 5/1,50.1,2.2,7.9
10YR 5/2,49.7,5,13.5
10YR 5/3,49.8,7.3,20.5
10YR 5/4,50,9.6,25.9
10YR 5/6,48.8,14.2,37
10YR 5/8,46.1,15.5,41.3
10YR 4/1,37.7,2.9,7.2
10YR 4/2,37.3,5.9,15.2
10YR 4/3,38,8.4,18.4
10YR 4/4,39.5,10,22.4
10YR 4/6,40.8,12.9,34.1
10YR 3/1,27.6,2.5,5.7
10YR 3/2,29.5,4.8,8.9
10YR 3/3,29.8,6.7,18.8
10YR 3/4,31.5,9.3,21.7
10YR 3/6,33.9,12.9,31.7
10YR 2/1,22.3,2.1,4.7
10YR 2/2,22.8,4.7,8.9
