chip,l,a,b
10YR 8/1,70.6,3.8,15.6
10YR 8/2,72.9,4.6,19.1
10YR 8/3,71,6.1,22.1
10YR 8/4,72,8.1,27.5
10YR 8/6,75.1,10.7,35.3
10YR 8/8,75.9,15.4,48.1
10YR 7/1,65.6,2.4,11.2
10YR 7/2,67.9,3.8,16.1
10YR 7/3,69,5.7,20.4
10YR 7/4,65.4,7.4,24.9
10YR 7/6,67.7,11.3,35.3
10YR 7/8,67.1,14.8,45.5
10YR 6/1,60.5,2.3,9.4
10YR 6/2,60.3,3.9,13.5
10YR 6/3,58.1,5.1,18.1
10YR 6/4,59.4,7.6,22.7
10YR 6/6,58,11.2,30.8
10YR 6/8,58.1,15,38.8
10YR 5/1,51.7,1.8,7.6
10YR 5/2,49.7,3.9,13.1
10YR 5/3,50.3,5.4,16.5
10YR 5/4,50.9,6.9,18.2
10YR 5/6,48.1,10.8,29.7
10YR 5/8,50.7,11.1,25.7
10YR 4/1,44.5,1.8,7.3
10YR 4/2,41.8,4,11.7
10YR 4/3,42.1,6.1,15.6
10YR 4/4,41.6,7.4,17.7
10YR 4/6,40.2,12.6,34.8
10YR 3/1,33.5,2,5.6
10YR 3/2,30.7,3.5,7.8
10YR 3/3,29.2,7.9,20
10YR 3/4,30.9,8.4,21.8
10YR 3/6,30.4,12.6,32.6
10YR 2/1,22.5,2.2,4.1
10YR 2/2,22.5,4.7,8.7
