chip,l,a,b
10YR 8/1,72.1,3.5,16.8
10YR 8/2,73.3,5.2,20.3
10YR 8/3,74.1,6.5,23.7
10YR 8/4,75.5,8.4,28.1
10YR 8/6,72.7,11.3,33.7
10YR 8/8,76.8,16.2,47
10YR 7/1,62.4,3.5,15
10YR 7/2,67.1,4.1,17.4
10YR 7/3,66.9,6.4,22.2
10YR 7/4,65.8,8.2,26
10YR 7/6,68.7,10.3,30.7
10YR 7/8,66.8,14.8,40.7
10YR 6/1,59.8,2.2,10.3
10YR 6/2,60.4,4,13.2
10YR 6/3,59.4,5.5,18
10YR 6/4,60.3,7.8,22.7
10YR 6/6,58.2,11.8,30.8
10YR 6/8,58,13.8,34.1
10YR 5/1,51.9,1.6,7.2
10YR 5/2,51.3,3.7,13.2
10YR 5/3,49.9,6.3,17.3
10YR 5/4,50.3,6.7,17.4
10YR 5/6,49.3,10.4,27.8
10YR 5/8,49.5,11.8,26.7
10YR 4/1,42.3,2.2,7.8
10YR 4/2,40.4,4.3,11.9
10YR 4/3,40.8,6.5,15.5
10YR 4/4,39.7,8,18.8
10YR 4/6,41.6,12.3,32.3
10YR 3/1,31.5,2.3,5.7
10YR 3/2,38.8,4.2,8.6
10YR 3/3,29.1,7.8,19.4
10YR 3/4,31.9,8.1,19.9
10YR 3/6,31.3,12.2,30.6
10YR 2/1,22.4,2.3,4.1
10YR 2/2,23.4,4.5,8.1
