chip,l,a,b
10YR 8/1,75,2.4,15.6
10YR 8/2,74.9,4.5,20.4
10YR 8/3,76.6,6.2,22.7
10YR 8/4,77.4,7.8,27
10YR 8/6,77.9,10.9,36.5
10YR 8/8,75.4,14.9,45
10YR 7/1,68.9,2.3,10.8
10YR 7/2,67.9,3.8,15.3
10YR 7/3,69,5.8,19.4
10YR 7/4,68.3,7.6,24.4
10YR 7/6,69.3,11.2,34.7
10YR 7/8,68.4,14.9,45.9
10YR 6/1,61.6,2.1,8.5
10YR 6/2,60.8,3.9,12.9
10YR 6/3,60.2,5.5,18.4
10YR 6/4,60.6,8.2,23.5
10YR 6/6,59.5,12.4,34.1
10YR 6/8,59.2,16.2,46.4
10YR 5/1,53.3,1.6,6.3
10YR 5/2,52.8,4,12.7
10YR 5/3,50.9,6.2,17.3
10YR 5/4,52.7,7.7,20.2
10YR 5/6,48.8,11.1,31
10YR 5/8,48.6,10.2,24
10YR 4/1,42.8,2.6,6.9
10YR 4/2,43.2,3.8,11
10YR 4/3,40.8,6.6,16.3
10YR 4/4,39.8,8.8,22.3
10YR 4/6,41,12.6,35.9
10YR 3/1,36.9,1.6,5.4
10YR 3/2,32.1,3.5,7.2
10YR 3/3,29.5,8,20.6
10YR 3/4,31.3,8.6,22
10YR 3/6,31.8,11.9,28.6
10YR 2/1,22.1,2.5,3.9
10YR 2/2,22.2,4.9,9.3
