chip,l,a,b
10YR 8/1,75.2,2.7,13.4
10YR 8/2,75.7,5,19.4
10YR 8/3,73.6,6.9,23.6
10YR 8/4,74.5,8.4,27.6
10YR 8/6,77.2,11.5,38.7
10YR 8/8,74.3,15.6,47.3
10YR 7/1,67.1,2.6,12.3
10YR 7/2,66.9,4.3,17.3
10YR 7/3,66.8,6.3,21.6
10YR 7/4,67.6,7.9,25.8
10YR 7/6,68,16,36.4
10YR 7/8,64.7,14.1,40.1
10YR 6/1,60.3,2.2,8.7
10YR 6/2,59.6,4.3,13.6
10YR 6/3,58.9,5.8,19.2
10YR 6/4,59.7,8.4,24.2
10YR 6/6,59.5,12.3,33.3
10YR 6/8,58.9,16.3,44.6
10YR 5/1,51.1,1.9,7.3
10YR 5/2,50.3,4,13.3
10YR 5/3,50.9,6.3,17.6
10YR 5/4,50.2,7.3,19.3
10YR 5/6,50.1,10.6,28.3
10YR 5/8,50.2,11.3,26.2
10YR 4/1,42.8,1.8,7.1
10YR 4/2,41.4,3.9,11
10YR 4/3,37.5,7.5,18.4
10YR 4/4,39.4,8.5,20.9
10YR 4/6,40.5,13.2,37.3
10YR 3/1,30.3,2.3,5.8
10YR 3/2,31.3,3,7.1
10YR 3/3,27.7,8.3,21.5
10YR 3/4,30.7,8.8,23.1
10YR 3/6,29,12.9,37.6
10YR 2/1,19.7,2.2,4.1
10YR 2/2,20.3,4.9,9.7
