chip,l,a,b
10YR 8/1,70.2,2.2,10.7
10YR 8/2,69.7,4.3,17.7
10YR 8/3,72.1,6.9,21.9
10YR 8/4,74.2,8.8,28.5
10YR 8/6,77,11.2,37.6
10YR 8/8,78.4,16.4,51.3
10YR 7/1,69.3,2.3,9.8
10YR 7/2,68,4.9,16
10YR 7/3,70.9,7,21.7
10YR 7/4,73,8.3,25.9
10YR 7/6,70.7,12.1,36.5
10YR 7/8,71.3,16.8,48.8
10YR 6/1,61.6,2.8,10.4
10YR 6/2,62.5,4.9,13.9
10YR 6/3,62.5,6.7,18.6
10YR 6/4,62.5,8.8,26.3
10YR 6/6,61.2,13.6,37.7
10YR 6/8,58.5,16.7,45.5
10YR 5/1,51.5,2.8,7.9
10YR 5/2,50.9,5.3,13.1
10YR 5/3,50.7,7,18.7
10YR 5/4,51.5,8.9,22.3
10YR 5/6,50.9,13.1,34.3
10YR 5/8,51.5,15.8,37.8
10YR 4/1,40.8,3.4,7.9
10YR 4/2,42.7,4.7,12.3
10YR 4/3,41.8,7.3,15.3
10YR 4/4,40.4,10.9,22.3
10YR 4/6,42.6,13.8,38.4
10YR 3/1,29.1,2.8,4.2
10YR 3/2,26.5,5,9.1
10YR 3/3,30.1,8.3,18.6
10YR 3/4,30,9.1,22.5
10YR 3/6,31.6,13,31.2
10YR 2/1,20.7,2,4.6
10YR 2/2,24.9,4,7.8
