chip,l,a,b
10YR 8/1,75.1,2.9,13
10YR 8/2,77.1,4.5,18.1
10YR 8/3,78.9,6.6,21.9
10YR 8/4,77.2,9,29.6
10YR 8/6,77.5,11.8,38.3
10YR 8/8,78.6,16.6,51.4
10YR 7/1,67.7,2.9,11.3
10YR 7/2,68.3,4.8,15.9
10YR 7/3,67.9,7,21.4
10YR 7/4,69.8,8.1,25.3
10YR 7/6,68.4,12.4,36
10YR 7/8,68.9,16.3,47.3
10YR 6/1,56.8,3.1,11.9
10YR 6/2,60.7,4.8,14.3
10YR 6/3,59.1,6.5,19.1
10YR 6/4,58.7,8.5,25.4
10YR 6/6,57.6,13.7,39.4
10YR 6/8,57.3,17,46.9
10YR 5/1,50.5,2.9,9.8
10YR 5/2,48.8,5.1,14.4
10YR 5/3,48.1,6.8,19
10YR 5/4,49.2,8.8,23.1
10YR 5/6,48.6,13.3,34.3
10YR 5/8,49.4,16.8,38.4
10YR 4/1,39.5,3.4,8.1
10YR 4/2,38.2,5.3,13.2
10YR 4/3,40.1,7.3,16
10YR 4/4,39.1,10.4,22.4
10YR 4/6,41.2,13.4,36.8
10YR 3/1,29.4,3,4.6
10YR 3/2,27.9,5.2,9.6
10YR 3/3,28.4,8.1,20.3
10YR 3/4,30.6,8.8,21
10YR 3/6,31.8,12.4,28.8
10YR 2/1,20.5,2.2,4.5
10YR 2/2,22.6,4.7,8.8
