chip,l,a,b
10YR 8/1,73.9,2.8,14.7
10YR 8/2,75.7,4.4,17.9
10YR 8/3,74.7,6.8,25.2
10YR 8/4,76.8,7.9,28.1
10YR 8/6,76.2,11.4,37.2
10YR 8/8,76.3,15.6,47.4
10YR 7/1,65.8,2.6,11.9
10YR 7/2,66.2,4.5,17.1
10YR 7/3,67.8,6.2,21.4
10YR 7/4,66.6,9.1,26.8
10YR 7/6,66.7,12,36.2
10YR 7/8,67.5,15.2,45.5
10YR 6/1,59.4,2.5,10.3
10YR 6/2,59.5,4.4,14.2
10YR 6/3,56,5.3,18
10YR 6/4,59.1,7.8,23.5
10YR 6/6,58.7,11.2,29.2
10YR 6/8,57.7,15.2,40.6
10YR 5/1,51.4,1.7,7.4
10YR 5/2,50.1,4.5,13.3
10YR 5/3,48.5,6.6,18.5
10YR 5/4,49.8,6.7,18.4
10YR 5/6,47.3,10.6,28.9
10YR 5/8,50.2,13.9,32
10YR 4/1,43.3,2.1,7.7
10YR 4/2,39.3,4.7,12.4
10YR 4/3,37.9,7.7,18.3
10YR 4/4,38.7,9.1,22
10YR 4/6,41.6,12.1,32.9
10YR 3/1,35.4,1.6,4.7
10YR 3/2,34.4,3.2,7.4
10YR 3/3,30.7,7.3,17.6
10YR 3/4,31.3,8.2,21
10YR 3/6,31.9,12.1,29.6
10YR 2/1,21.8,2.4,4
10YR 2/2,23.5,4.2,8
