chip,l,a,b
10YR 8/1,82.2,1.5,8.9
10YR 8/2,82.2,3,13.9
10YR 8/3,82.5,5.4,19.7
10YR 8/4,82.4,8.3,27.1
10YR 8/6,81.8,12.2,39.4
10YR 8/8,81.6,15.7,52.1
10YR 7/1,72.9,1.8,7.8
10YR 7/2,72.4,4.2,13.7
10YR 7/3,71.9,6.3,19.3
10YR 7/4,72,8.2,25.9
10YR 7/6,72.6,12.2,39
10YR 7/8,71.6,16.8,51
10YR 6/1,63.2,2.2,6.9
10YR 6/2,61.9,4.7,13.2
10YR 6/3,61.5,6.7,19.2
10YR 6/4,61.8,8.6,24.9
10YR 6/6,61.2,13.8,39.2
10YR 6/8,61.7,16.8,49.7
10YR 5/1,52.3,2.2,6.8
10YR 5/2,52,4.8,12.6
10YR 5/3,51.6,7.1,19.7
10YR 5/4,51.4,9.4,25.2
10YR 5/6,50.6,13.4,34.3
10YR 5/8,51.4,14.7,37
10YR 4/1,41.4,2.7,6.5
10YR 4/2,41.2,5.5,13.9
10YR 4/3,41.2,7.7,17.6
10YR 4/4,41.5,9.1,21.2
10YR 4/6,41.5,13.4,36.6
10YR 3/1,31.4,2.4,5.6
10YR 3/2,32,5,10.5
10YR 3/3,30,6.9,19.1
10YR 3/4,32.1,9.4,21.6
10YR 3/6,34.2,13.4,34.1
10YR 2/1,22.7,2.6,5.2
10YR 2/2,24.4,4.8,8.4
