chip,l,a,b
10YR 8/1,75,2.6,12.4
10YR 8/2,78.7,4.1,15.5
10YR 8/3,76.6,6.5,22.7
10YR 8/4,78.4,8.1,27.3
10YR 8/6,79.5,11.5,37.3
10YR 8/8,78,16.1,50.2
10YR 7/1,69.2,2.4,9.3
10YR 7/2,69.2,4.6,14.5
10YR 7/3,68.7,7.8,20
10YR 7/4,70.7,8.1,24.9
10YR 7/6,69.7,12.2,37.8
10YR 7/8,66.6,15.2,46
10YR 6/1,60.6,2.6,7.6
10YR 6/2,60.9,4.9,13.7
10YR 6/3,60.5,6.7,17.9
10YR 6/4,60.3,8.4,25.8
10YR 6/6,60.2,13,37.1
10YR 6/8,58.8,16.3,48.4
10YR 5/1,51,2.8,7.2
10YR 5/2,50.3,4.7,12.2
10YR 5/3,50.1,7.1,18.5
10YR 5/4,50,9.1,23.6
10YR 5/6,50.2,12.2,34.4
10YR 5/8,52.2,15.7,38.5
10YR 4/1,40,3,6.8
10YR 4/2,40.9,5.3,12.4
10YR 4/3,39.7,7.3,17.4
10YR 4/4,40.6,9.8,22.7
10YR 4/6,40.2,13.2,37.6
10YR 3/1,30.6,2.8,4.5
10YR 3/2,30.5,4.5,8.8
10YR 3/3,29,7.8,19.4
10YR 3/4,30.3,8.7,21.7
10YR 3/6,31.7,12.7,30
10YR 2/1,20.6,2.1,5.4
10YR 2/2,22.5,4.5,8.9
