chip,l,a,b
10YR 8/1,75.3,2.5,14.6
10YR 8/2,76,4,17
10YR 8/3,75.9,6.1,21.7
10YR 8/4,76.5,7.8,27.2
10YR 8/6,74.5,11.5,35.9
10YR 8/8,73.4,15.1,44.6
10YR 7/1,68.7,2.3,10.1
10YR 7/2,70.9,3.8,15.8
10YR 7/3,70.9,6,20.8
10YR 7/4,68.4,8.5,27.4
10YR 7/6,70.8,12,37
10YR 7/8,69.6,14.9,45.2
10YR 6/1,62.3,2.2,9.4
10YR 6/2,62.7,3.8,13.1
10YR 6/3,61.5,5.6,18.5
10YR 6/4,61.6,7.9,22.7
10YR 6/6,62.7,11.8,30.8
10YR 6/8,61.2,15.5,40
10YR 5/1,55.1,1.7,7.5
10YR 5/2,54.2,3.8,13.5
10YR 5/3,53,6.2,17.1
10YR 5/4,55.2,6.6,18.2
10YR 5/6,51.8,10.4,28.1
10YR 5/8,52,13.7,33.4
10YR 4/1,45.4,2.3,6.8
10YR 4/2,44.4,4,10.8
10YR 4/3,44,6.4,15.5
10YR 4/4,43.8,8,19.1
10YR 4/6,41.8,13,36
10YR 3/1,36,1.9,5.1
10YR 3/2,34.3,3.5,7.5
10YR 3/3,30.2,8.1,20.9
10YR 3/4,33.2,8.9,22.5
10YR 3/6,32.3,12.7,32.9
10YR 2/1,22.3,2.6,4.6
10YR 2/2,22.8,5,9.5
