chip,l,a,b
10YR 8/1,81.1,1.7,9.6
10YR 8/2,81.1,3.5,16.1
10YR 8/3,81.3,5.9,20.9
10YR 8/4,79.8,9,29
10YR 8/6,81.1,12.3,39.9
10YR 8/8,81.2,15.4,52.4
10YR 7/1,72.4,1.9,8.7
10YR 7/2,72.1,4.2,14.2
10YR 7/3,71.6,6.6,20.2
10YR 7/4,71.7,8.4,26.7
10YR 7/6,72.5,12.4,39.3
10YR 7/8,71.2,16.8,52.1
10YR 6/1,63.2,2.1,7.4
10YR 6/2,62.5,4.7,13.4
10YR 6/3,61.4,6.7,19.6
10YR 6/4,61.7,8.6,25.4
10YR 6/6,60.4,13.8,40.1
10YR 6/8,61.2,16.7,49.1
10YR 5/1,52.2,2.2,7.2
10YR 5/2,51.6,5,13.3
10YR 5/3,51.8,7,19.6
10YR 5/4,50.9,9.4,25.4
10YR 5/6,51.5,13.9,36.5
10YR 5/8,51,14.9,38.6
10YR 4/1,39.5,2.8,6.9
10YR 4/2,40.5,5.6,14.5
10YR 4/3,40.8,7.6,17
10YR 4/4,42.2,9.5,21.8
10YR 4/6,41.6,13.5,37.7
10YR 3/1,30.6,2.4,5.4
10YR 3/2,32.9,4.8,8.8
10YR 3/3,30.7,6.8,18.3
10YR 3/4,31.9,9.5,22.5
10YR 3/6,35.2,12.2,32.3
10YR 2/1,22.8,2.5,5.4
10YR 2/2,23.5,5,8.9
