chip,l,a,b
10YR 8/1,75.7,2.8,15.4
10YR 8/2,73.6,5.3,20.2
10YR 8/3,75.6,6.9,24.9
10YR 8/4,76.3,8.2,28.2
10YR 8/6,76.3,11.2,36.8
10YR 8/8,73.4,15.6,45.2
10YR 7/1,70.5,2.3,11.3
10YR 7/2,71.6,3.8,15.4
10YR 7/3,69.1,6.1,21.5
10YR 7/4,68.1,8.3,26.8
10YR 7/6,70.3,11.9,36.3
10YR 7/8,66.4,16,46
10YR 6/1,59.7,2.3,9.3
10YR 6/2,62.4,4.2,13.8
10YR 6/3,61.5,5.6,18.7
10YR 6/4,62.5,8.5,24.9
10YR 6/6,59.8,12.9,35.2
10YR 6/8,59.4,17,46.3
10YR 5/1,53,2.1,8
10YR 5/2,53.3,4,13.6
10YR 5/3,52.9,6.6,17.9
10YR 5/4,52.4,8.3,21.6
10YR 5/6,50.1,12.1,34
10YR 5/8,51.6,13.8,23.1
10YR 4/1,43.8,2.6,7.2
10YR 4/2,43.1,4.6,11.7
10YR 4/3,42.6,6.9,16.7
10YR 4/4,42.4,8.9,22.3
10YR 4/6,43.4,12.2,32.1
10YR 3/1,48.3,0.3,3.8
10YR 3/2,34.5,3.6,8
10YR 3/3,31.9,7.5,18.3
10YR 3/4,32.8,8.8,22.8
10YR 3/6,32.5,12.7,32.1
10YR 2/1,23.3,2.3,4.2
10YR 2/2,23.4,2.3,4.2
