chip,l,a,b
10YR 8/1,76.3,2.2,13.1
10YR 8/2,73.9,4.6,17.9
10YR 8/3,74.5,6.6,23.8
10YR 8/4,76.2,7.9,27.4
10YR 8/6,77.2,11,36.4
10YR 8/8,78.4,15.8,48.5
10YR 7/1,70.1,2.1,9.2
10YR 7/2,70.2,3.8,14.6
10YR 7/3,67.5,6,20.2
10YR 7/4,69.1,7.8,25.3
10YR 7/6,69.4,11.9,37.2
10YR 7/8,68.8,15.2,45.8
10YR 6/1,60.4,2.3,8.6
10YR 6/2,60.6,4,12.8
10YR 6/3,59.3,5.8,19.1
10YR 6/4,59.5,8.5,24.8
10YR 6/6,60,13.5,38.4
10YR 6/8,57.8,15.7,43.4
10YR 5/1,51.5,2.2,7.5
10YR 5/2,51.2,4.4,13.2
10YR 5/3,50.4,6.8,18.4
10YR 5/4,50.6,8.4,21.8
10YR 5/6,49.7,11.6,32.7
10YR 5/8,50,13.4,31.7
10YR 4/1,42.2,2.7,7.1
10YR 4/2,40.6,4.8,12
10YR 4/3,40.3,6.7,16.3
10YR 4/4,40.6,8.6,21.3
10YR 4/6,40.7,12.5,35.2
10YR 3/1,33.4,2.3,5.6
10YR 3/2,30.8,3.6,7.7
10YR 3/3,30.2,8,20.3
10YR 3/4,35,7.2,17
10YR 3/6,31.1,12.5,31.8
10YR 2/1,21.6,2.4,4.5
10YR 2/2,22.8,4.8,8.6
