chip,l,a,b
10YR 8/1,73.9,2.6,15.7
10YR 8/2,74.5,4.3,19.2
10YR 8/3,75.9,6.3,24
10YR 8/4,74.3,7.8,27.4
10YR 8/6,73.9,10.6,35.1
10YR 8/8,73.4,15,45.3
10YR 7/1,66,2.4,12.3
10YR 7/2,66.1,4.3,16.5
10YR 7/3,538,4.7,16.6
10YR 7/4,66.6,7.5,24.6
10YR 7/6,68.1,11.5,35.8
10YR 7/8,67.7,14.9,45.7
10YR 6/1,59.8,2.3,9.3
10YR 6/2,59.3,4,13.2
10YR 6/3,55.3,5.2,17.3
10YR 6/4,59.5,8.4,24
10YR 6/6,58.7,12.7,34.6
10YR 6/8,58,15.6,41.3
10YR 5/1,52.9,1.8,7.8
10YR 5/2,46.7,3.6,11.4
10YR 5/3,49.7,5.8,15.9
10YR 5/4,51.3,6.4,17.1
10YR 5/6,48.5,10.7,28.5
10YR 5/8,50.2,12.9,29.9
10YR 4/1,43.2,2.2,7.5
10YR 4/2,41.2,3.9,10.8
10YR 4/3,40.2,6.1,14.7
10YR 4/4,39.8,7.8,18.9
10YR 4/6,36.9,11.1,30.6
10YR 3/1,31.5,2,5
10YR 3/2,29.7,2.5,5.2
10YR 3/3,29.5,7.2,17.8
10YR 3/4,31.6,8.2,20.9
10YR 3/6,30.9,11.9,30.5
10YR 2/1,22.7,1.8,3.3
10YR 2/2,23.5,4.4,8.3
