chip,l,a,b
10YR 8/1,61.8,4,11.8
10YR 8/2,72.4,3.9,14.8
10YR 8/3,76.2,5.5,20.8
10YR 8/4,78,6.9,27
10YR 8/6,75.8,11,38
10YR 8/8,75.2,16.2,51.9
10YR 7/1,66.5,2.3,10
10YR 7/2,65.8,4.3,14.7
10YR 7/3,67.6,6.4,20.9
10YR 7/4,69,8.1,25.5
10YR 7/6,65.6,11.2,36.5
10YR 7/8,66,15.3,47
10YR 6/1,57.1,2.7,8.4
10YR 6/2,57,4.3,14.3
10YR 6/3,58,6.4,17.8
10YR 6/4,57.3,8.2,25.4
10YR 6/6,58.9,13,37.3
10YR 6/8,58,16.8,48.8
10YR 5/1,48.5,2.7,10.5
10YR 5/2,47.3,5.4,12.1
10YR 5/3,47.9,6.6,18.6
10YR 5/4,47.5,9.1,22.5
10YR 5/6,49.3,13.1,35.4
10YR 5/8,49.3,17.4,41.4
10YR 4/1,37.9,2.9,7.1
10YR 4/2,40.5,4.1,11.5
10YR 4/3,37.4,7.2,15.6
10YR 4/4,40.3,10.2,21.7
10YR 4/6,40,13.8,40.2
10YR 3/1,27.4,3,3.7
10YR 3/2,31,4.4,7.9
10YR 3/3,27.6,8.4,21.2
10YR 3/4,28.9,9.6,24.8
10YR 3/6,30.8,13.2,34.6
10YR 2/1,19.3,2.4,5.7
10YR 2/2,19.8,4.7,10.3
