chip,l,a,b
10YR 8/1,79.4,1.6,9.6
10YR 8/2,80.6,3.2,14.6
10YR 8/3,78.7,5.6,20.8
10YR 8/4,79.2,8.5,27.5
10YR 8/6,79.9,12.2,39.2
10YR 8/8,79.9,15.4,52.1
10YR 7/1,71,1.9,8.2
10YR 7/2,70.3,4.1,13.4
10YR 7/3,70.2,6.5,19
10YR 7/4,70,8.2,25.8
10YR 7/6,70.4,11.9,38.1
10YR 7/8,70.4,17,51.3
10YR 6/1,61.5,2.1,6.9
10YR 6/2,60.7,4.7,12.9
10YR 6/3,59.8,6.7,19.2
10YR 6/4,60,8.6,24.7
10YR 6/6,59.2,13.6,39.1
10YR 6/8,59.2,16.3,47.5
10YR 5/1,50.5,2.1,7.1
10YR 5/2,50.5,4.8,12.4
10YR 5/3,50.3,7.1,19.5
10YR 5/4,49.7,8.8,24.8
10YR 5/6,49.5,13.7,36
10YR 5/8,49.6,15.3,36.2
10YR 4/1,39.7,2.5,6.1
10YR 4/2,39.5,5.5,13.9
10YR 4/3,39.5,7.8,17.6
10YR 4/4,39.9,9.5,21.7
10YR 4/6,41.1,13.3,35.7
10YR 3/1,30.3,2.3,5.3
10YR 3/2,31.3,4.8,9
10YR 3/3,28.3,7,19
10YR 3/4,31,9,20.9
10YR 3/6,33.7,13.4,32.4
10YR 2/1,22.7,2.2,4.6
10YR 2/2,21.8,4.8,8.6
