chip,l,a,b
10YR 8/1,78.5,1.4,9.9
10YR 8/2,80.5,3,14.5
10YR 8/3,79.6,5.3,20.5
10YR 8/4,80.1,8.3,27
10YR 8/6,79.2,12,38.5
10YR 8/8,79.9,15.6,51.4
10YR 7/1,70.3,1.8,8.3
10YR 7/2,70.2,4.1,13.6
10YR 7/3,69.7,6.3,19.2
10YR 7/4,69.4,8.2,25.9
10YR 7/6,70.5,12.3,38.5
10YR 7/8,69.7,16.9,49.9
10YR 6/1,61.6,2,6.6
10YR 6/2,59.4,4.6,13.1
10YR 6/3,59,6.5,19.3
10YR 6/4,59.4,8.4,24.2
10YR 6/6,59.1,13.5,38
10YR 6/8,60.1,16.4,46.3
10YR 5/1,50.8,1.9,6.3
10YR 5/2,50,4.7,12.5
10YR 5/3,49.2,6.9,18.9
10YR 5/4,49.5,9.2,24.5
10YR 5/6,49.8,13.4,34.4
10YR 5/8,48.4,14.7,37.1
10YR 4/1,38.7,2.5,6.2
10YR 4/2,39.2,5.4,13.4
10YR 4/3,39.5,7.2,15.5
10YR 4/4,41.3,9.1,19.3
10YR 4/6,40.6,12.3,32.5
10YR 3/1,31.7,2.1,4.9
10YR 3/2,31.3,4.7,8.6
10YR 3/3,28.7,6.9,18.9
10YR 3/4,34.9,7.3,15.3
10YR 3/6,33.6,12.9,31
10YR 2/1,22.9,2.4,4.8
10YR 2/2,22.5,5.1,9.3
