chip,l,a,b
10YR 8/1,74.8,2.4,12.4
10YR 8/2,73,4.8,19.6
10YR 8/3,74.9,6.7,22.8
10YR 8/4,76.1,8.7,29.1
10YR 8/6,73.8,11.4,35.5
10YR 8/8,77.5,16.2,49.8
10YR 7/1,67.6,2.6,10.6
10YR 7/2,68.9,4.9,16
10YR 7/3,67.3,6.8,20.7
10YR 7/4,69.5,8.1,25
10YR 7/6,68.2,12.3,35.8
10YR 7/8,67.2,15.5,44.2
10YR 6/1,59.2,2.8,9.4
10YR 6/2,60.2,5,15.2
10YR 6/3,58.2,6.6,19.6
10YR 6/4,58.9,8.5,26.3
10YR 6/6,59.6,13,37.6
10YR 6/8,58.4,16.3,47.5
10YR 5/1,49.5,2.8,9.5
10YR 5/2,49,5,14.2
10YR 5/3,48.4,7.1,20.1
10YR 5/4,47.7,9.3,25.2
10YR 5/6,49.7,12.2,31.2
10YR 5/8,51.6,15,36.5
10YR 4/1,40.4,3.4,9.4
10YR 4/2,37,5.6,14.8
10YR 4/3,38.7,7.9,17.5
10YR 4/4,38.2,10.7,22.1
10YR 4/6,40.2,13.6,38.5
10YR 3/1,28.5,3.4,5.4
10YR 3/2,28.8,4.7,9.1
10YR 3/3,27.7,8.2,21
10YR 3/4,29.8,9.2,22.9
10YR 3/6,31.2,13.2,32.2
10YR 2/1,21.8,2.1,4.6
10YR 2/2,24.3,4,8.1
